key,registrationMoment,lastUpdateMoment,step,resolutionPercentage,status,resolution,key:claim
trackingLog-11,2000/01/01 0:07,2012/07/02 0:04,Lo,50.00,PENDING,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,Claim-01
trackingLog-12,2000/01/01 0:08,2012/07/02 0:03,"Lorem ipsum dolor sit amet, consectetur adipiscin",50.00,PENDING,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,Claim-01
trackingLog-13,2000/01/01 0:09,2012/07/02 0:04,"Lorem ipsum dolor sit amet, consectetur adipiscing",50.00,PENDING,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,Claim-01
trackingLog-14,2000/01/01 0:10,2012/07/02 0:05,โลเร็ม อิปซัม,50.00,PENDING,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,Claim-01
trackingLog-15,2000/01/01 0:11,2012/07/02 0:06,لوريم إيبسوم,50.00,PENDING,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,Claim-01
trackingLog-16,2000/01/01 0:12,2012/07/02 0:07,洛伦·伊普森,50.00,PENDING,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,Claim-01
trackingLog-17,2000/01/01 0:13,2012/07/02 0:08,<marquee>Hacked</marquee>,50.00,PENDING,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,Claim-01
trackingLog-18,2000/01/01 0:14,2012/07/02 0:09,<script>alert(‘Hacked!’);</script>,50.00,PENDING,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,Claim-01
trackingLog-19,2000/01/01 0:15,2012/07/02 0:10,' or 'A' = 'A ,50.00,PENDING,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,Claim-01
#resolutionPercentage,,,,,,,
trackingLog-20,2000/01/01 0:16,2012/07/02 0:11,Lorem ipsum dolor sit ame,00.00,PENDING,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,Claim-02
trackingLog-21,2000/01/01 0:17,2012/07/02 0:12,Lorem ipsum dolor sit ame,00.01,PENDING,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,Claim-03
trackingLog-22,2000/01/01 0:18,2012/07/02 0:13,Lorem ipsum dolor sit ame,99.99,PENDING,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,Claim-04
trackingLog-23,2000/01/01 0:19,2012/07/02 0:14,Lorem ipsum dolor sit ame,100.00,ACCEPTED,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,Claim-05
#status,,,,,,,
trackingLog-24,2000/01/01 0:20,2012/07/02 0:15,Lorem ipsum dolor sit ame,100.00,ACCEPTED,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,Claim-06
trackingLog-25,2000/01/01 0:21,2012/07/02 0:16,Lorem ipsum dolor sit ame,100.00,REJECTED,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,Claim-07
#resolution,,,,,,,
trackingLog-26,2000/01/01 0:22,2012/07/02 0:17,Lorem ipsum dolor sit ame,50.00,PENDING,null,Claim-01
trackingLog-27,2000/01/01 0:23,2012/07/02 0:18,Lorem ipsum dolor sit ame,50.00,PENDING,L,Claim-01
trackingLog-28,2000/01/01 0:24,2012/07/02 0:19,Lorem ipsum dolor sit ame,50.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",Claim-01
trackingLog-29,2000/01/01 0:25,2012/07/02 0:20,Lorem ipsum dolor sit ame,50.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",Claim-01
trackingLog-30,2000/01/01 0:26,2012/07/02 0:21,Lorem ipsum dolor sit ame,50.00,PENDING,โลเร็ม อิปซัม,Claim-01
trackingLog-31,2000/01/01 0:27,2012/07/02 0:22,Lorem ipsum dolor sit ame,50.00,PENDING,لوريم إيبسوم,Claim-01
trackingLog-32,2000/01/01 0:28,2012/07/02 0:23,Lorem ipsum dolor sit ame,50.00,PENDING,洛伦·伊普森,Claim-01
trackingLog-33,2000/01/01 0:29,2012/07/02 0:24,Lorem ipsum dolor sit ame,50.00,PENDING,<marquee>Hacked</marquee>,Claim-01
trackingLog-34,2000/01/01 0:30,2012/07/02 0:25,Lorem ipsum dolor sit ame,50.00,PENDING,<script>alert(‘Hacked!’);</script>,Claim-01
trackingLog-35,2000/01/01 0:31,2012/07/02 0:26,Lorem ipsum dolor sit ame,50.00,PENDING,' or 'A' = 'A ,Claim-01
#key:claim,,,,,,,
trackingLog-36,2000/01/01 0:32,2012/07/02 0:27,Lorem ipsum dolor sit ame,50.00,PENDING,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,Claim-18
trackingLog-37,2000/01/01 0:33,2012/07/02 0:28,Lorem ipsum dolor sit ame,50.00,PENDING,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,Claim-29
