key,maintenanceMoment,status,nextInspectionDue,estimatedCost,notes,draftMode,key:technician,key:aircraft
maintenanceRecord-19,2012/07/02 00:00,COMPLETED,2012/07/12 00:00,EUR 500000,L,true,technician-02,aircraft-01
maintenanceRecord-20,2012/07/02 00:00,COMPLETED,2012/07/12 00:00,EUR 500000,Lo,true,technician-02,aircraft-01
maintenanceRecord-21,2012/07/02 00:00,COMPLETED,2012/07/12 00:00,EUR 500000,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor,true,technician-02,aircraft-01
maintenanceRecord-22,2012/07/02 00:00,COMPLETED,2012/07/12 00:00,EUR 500000,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*,true,technician-02,aircraft-01
maintenanceRecord-23,2012/07/02 00:00,COMPLETED,2012/07/12 00:00,EUR 500000,โลเร็ม อิปซัม,true,technician-02,aircraft-01
maintenanceRecord-24,2012/07/02 00:00,COMPLETED,2012/07/12 00:00,EUR 500000,لوريم إيبسوم,true,technician-02,aircraft-01
maintenanceRecord-25,2012/07/02 00:00,COMPLETED,2012/07/12 00:00,EUR 500000,洛伦·伊普森,true,technician-02,aircraft-01
maintenanceRecord-26,2012/07/02 00:00,COMPLETED,2012/07/12 00:00,EUR 500000,<marquee>Hacked</marquee>,true,technician-02,aircraft-01
maintenanceRecord-27,2012/07/02 00:00,COMPLETED,2012/07/12 00:00,EUR 500000,<script>alert(‘Hacked!’);</script>,true,technician-02,aircraft-01
maintenanceRecord-28,2012/07/02 00:00,COMPLETED,2012/07/12 00:00,EUR 500000,'' or 'A' = 'A,true,technician-02,aircraft-01
# notes - no singular values
#key:aircraft
maintenanceRecord-29,2012/07/02 00:00,COMPLETED,2012/07/12 00:00,EUR 500000,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,technician-02,aircraft-02
maintenanceRecord-30,2012/07/02 00:00,COMPLETED,2012/07/12 00:00,EUR 500000,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,technician-02,aircraft-03
maintenanceRecord-31,2012/07/02 00:00,COMPLETED,2012/07/12 00:00,EUR 500000,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,technician-02,aircraft-40
