key,name,moment,subject,text,score,recommended
review-32,"Lorem ipsum dolor sit amet, consectetur adipiscing",2024/09/01 10:00,"Lorem ipsum dolor sit amet, consectetur adipiscing",<marquee>Hacked</marquee>,8.00,false
review-33,"Lorem ipsum dolor sit amet, consectetur adipiscing",2024/09/01 10:00,"Lorem ipsum dolor sit amet, consectetur adipiscing",<script>alert(‘Hacked!’);</script>,8.00,false
review-34,"Lorem ipsum dolor sit amet, consectetur adipiscing",2024/09/01 10:00,"Lorem ipsum dolor sit amet, consectetur adipiscing",' or 'A' = 'A,8.00,false
# text - no singular values
# score - standard variations
review-35,"Lorem ipsum dolor sit amet, consectetur adipiscing",2024/09/01 10:00,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",0.00,false
review-36,"Lorem ipsum dolor sit amet, consectetur adipiscing",2024/09/01 10:00,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",0.01,false
review-37,"Lorem ipsum dolor sit amet, consectetur adipiscing",2024/09/01 10:00,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",9.99,false
review-38,"Lorem ipsum dolor sit amet, consectetur adipiscing",2024/09/01 10:00,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",10.00,false
review-39,"Lorem ipsum dolor sit amet, consectetur adipiscing",2024/09/01 10:00,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",,false
# score - no singular values
# recommended - standard variations
review-40,"Lorem ipsum dolor sit amet, consectetur adipiscing",2024/09/01 10:00,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",8.00,false
review-41,"Lorem ipsum dolor sit amet, consectetur adipiscing",2024/09/01 10:00,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",8.00,true
review-42,"Lorem ipsum dolor sit amet, consectetur adipiscing",2024/09/01 10:00,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",8.00,null
# recommended - no singular values
