key,name,iataCode,website,type,foundationMoment,email,phoneNumber
airline-25,Lorem ipsum dolor sit ame,FWX,http://lorem.com/ipsum,STANDARD,2000/01/01 0:01,acme@lorem-ipsum.org,872552447
airline-26,Lorem ipsum dolor sit ame,FXX,http://lorem.com/ipsum,STANDARD,2024/12/31 23:59,acme@lorem-ipsum.org,872552447
airline-27,Lorem ipsum dolor sit ame,FYX,http://lorem.com/ipsum,STANDARD,2025/01/01 0:00,acme@lorem-ipsum.org,872552447
# foundationMoment - no singular values
# email - standard variations
airline-28,Lorem ipsum dolor sit ame,FZX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,872552447
airline-29,Lorem ipsum dolor sit ame,AXX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme-password@lorem-ipsum.org,872552447
airline-30,Lorem ipsum dolor sit ame,ABX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,a@b.e,872552447
airline-31,Lorem ipsum dolor sit ame,ACX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,a@b.es,872552447
airline-32,Lorem ipsum dolor sit ame,ADX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,a@b.esx,872552447
airline-33,Lorem ipsum dolor sit ame,AEX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,872552447
airline-34,Lorem ipsum dolor sit ame,AFX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,872552447
# foundationMoment - no singular values
# phoneNumber - standard variations
airline-35,Lorem ipsum dolor sit ame,AGX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,123456
airline-36,Lorem ipsum dolor sit ame,AHX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,2345678
airline-37,Lorem ipsum dolor sit ame,AIX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,123456789123456
airline-38,Lorem ipsum dolor sit ame,AJX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,12345678912345
airline-39,Lorem ipsum dolor sit ame,AKX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,9987654321
airline-40,Lorem ipsum dolor sit ame,ALX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,111111111
airline-41,Lorem ipsum dolor sit ame,AMX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,+000000
airline-42,Lorem ipsum dolor sit ame,ANX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,+123456789123456
airline-43,Lorem ipsum dolor sit ame,AOX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,+1234567890
airline-44,Lorem ipsum dolor sit ame,APX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,+12345678909876
airline-45,Lorem ipsum dolor sit ame,AQX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,+9785326549
# phoneNumber - no singular values
# null values for optional atributes
airline-46,Lorem ipsum dolor sit ame,ARX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,null
airline-47,Lorem ipsum dolor sit ame,ASX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,null,872552447
