key,name,picture,avgDwellTime,promotionCode,money
Service-19,Lorem ipsum dolor sit ame,http://www.lorem-ipsum.org/dolor/sit.html#dolor,30.00,ABCV-25,40.00
Service-20,Lorem ipsum dolor sit ame,http://example.org?a=1&b=2,30.00,ABCW-25,40.00
Service-21,Lorem ipsum dolor sit ame,http://example.org?,30.00,ABCX-25,40.00
Service-22,Lorem ipsum dolor sit ame,http://example.org?a,30.00,ABCY-25,40.00
Service-23,Lorem ipsum dolor sit ame,http://example.org?a&b,30.00,ABCZ-25,40.00
#avgDwellTime,"","","","",""
Service-24,Lorem ipsum dolor sit ame,https://www.ceupe.do/images/easyblog_articles/502/plane-513641_1920.jpg,00.00,BABC-25,40.00
Service-25,Lorem ipsum dolor sit ame,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkrQEfFTIhzHuSK1-kkYp-2P4tXXGYZubx3A&s,00.01,BABD-25,40.00
Service-26,Lorem ipsum dolor sit ame,https://www.oneair.es/wp-content/uploads/2024/05/aviones-turbohelice.jpg,99.99,BABE-25,40.00
Service-27,Lorem ipsum dolor sit ame,https://forbes.es/wp-content/uploads/2023/02/Piloto_Sin_Avion.jpg,100.00,BABF-25,40.00
#promotionCode,"","","","",""
Service-28,Lorem ipsum dolor sit ame,https://fuerzasmilitares.es/wp-content/uploads/2021/07/1366_2000.jpg,30.00,null,40.00
#money,"","","","",""
Service-29,Lorem ipsum dolor sit ame,https://media.cnn.com/api/v1/images/stellar/prod/cnne-1658151-avion-ala-combinada-jetzero.jpg?c=original,30.00,BABG-25,0.00
Service-30,Lorem ipsum dolor sit ame,https://s1.elespanol.com/2020/09/01/omicrono/tecnologia/aviones-aviacion-airbus_517458817_159317896_1024x576.jpg,30.00,BABH-25,0.01
Service-31,Lorem ipsum dolor sit ame,https://cdn.businessinsider.es/sites/navi.axelspringer.es/public/media/image/2024/11/inside-jetblue-a321neolr-blue-lighting-4267739.jpg?tf=3840x,30.00,BABI-25,99.99
Service-32,Lorem ipsum dolor sit ame,https://airhorizont.com/wp-content/uploads/2024/06/%C2%BFPor-que-los-aviones-deben-volar-a-mas-de-10000-metros-de-altura.png,30.00,BABJ-25,100.00
Service-33,Lorem ipsum dolor sit ame,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhTxIJmZjittdDjESDhh9PfSE6K_t_uJ09ow&s,30.00,BABK-25,
